Problem;Rationale;annotated_formula;linear_formula;category;id_question;difficulty;upload_timestamp;solved_timestamp;response_time
there are 1000 buildings in a street . a sign - maker is contracted to number the houses from 1 to 1000 . how many zeroes will he need ?;divide as ( 1 - 100 ) ( 100 - 200 ) . . . . ( 900 - 1000 ) total 192 answer : c;add(add(divide(1000, const_10), multiply(subtract(const_10, 1), const_10)), const_2);divide(n0,const_10)|subtract(const_10,n1)|multiply(#1,const_10)|add(#0,#2)|add(#3,const_2);general;Q362;Medium;2023-01-01 21:19:00;2023-01-01 21:49:00;30,98
a man bought 20 shares of rs . 50 at 5 discount , the rate of dividend being 13 . the rate of interest obtained is :;"""investment = rs . [ 20 x ( 50 - 5 ) ] = rs . 900 . face value = rs . ( 50 x 20 ) = rs . 1000 . dividend = rs . 27 x 1000 = rs . 135 . 2 100 interest obtained = 135 x 100 % = 15 % 900 view answer discuss in forum answer : c""";divide(multiply(multiply(20, 50), divide(13, const_100)), multiply(20, subtract(50, 5)));divide(n3,const_100)|multiply(n0,n1)|subtract(n1,n2)|multiply(#0,#1)|multiply(n0,#2)|divide(#3,#4)|;gain;Q063;Hard;2023-01-01 21:54:00;2023-01-01 22:39:00;45,36
? % of 360 = 108;"""? % of 360 = 108 or , ? = 108 × 100 / 360 = 30 answer a""";divide(multiply(108, const_100), 360);multiply(n1,const_100)|divide(#0,n0)|;gain;Q318;Easy;2023-01-03 08:59:00;2023-01-03 09:12:00;13,15
a corporation double its annual bonus to 100 of its employees . what percent of the employees ’ new bonus is the increase ?;let the annual bonus be x . a corporation double its annual bonus . so new bonus = 2 x . increase = 2 x - x = x the increase is what percent of the employees ’ new bonus = ( x / 2 x ) * 100 = 50 % hence a .;multiply(divide(subtract(const_2, const_1), const_2), 100);subtract(const_2,const_1)|divide(#0,const_2)|multiply(n0,#1);general;Q617;Easy;2023-01-03 21:18:00;2023-01-03 21:33:00;15,95
a and b together do a work in 20 days . b and c together in 15 days and c and a in 12 days . then b alone can finish same work in how many days ?;"""( a + b ) work in 1 day = 1 / 20 , ( b + c ) work in 1 days = 1 / 15 . , ( c + a ) work in 1 days = 1 / 12 ( 1 ) adding = 2 [ a + b + c ] in 1 day work = [ 1 / 20 + 1 / 15 + 1 / 12 ] = 1 / 5 ( a + b + c ) work in 1 day = 1 / 10 b work in 1 days = [ a + b + c ] work in 1 days - work of ( a + c ) in 1 days = [ 1 / 10 - 1 / 12 ] = 1 / 60 b alone finish work in 60 days answer b""";inverse(divide(add(inverse(12), add(inverse(20), inverse(15))), const_2));inverse(n0)|inverse(n1)|inverse(n2)|add(#0,#1)|add(#3,#2)|divide(#4,const_2)|inverse(#5)|;physics;Q335;Easy;2023-01-04 11:19:00;2023-01-04 11:37:00;18,19
oak street begins at pine street and runs directly east for 2 kilometers until it ends when it meets maple street . oak street is intersected every 400 meters by a perpendicular street , and each of those streets other than pine street and maple street is given a number beginning at 1 st street ( one block east of pine street ) and continuing consecutively ( 2 nd street , 3 rd street , etc . . . ) until the highest - numbered street one block west of maple street . what is the highest - numbered street that intersects oak street ?;"2 km / 400 m = 5 . however , the street at the 2 - km mark is not 5 th street ; it is maple street . therefore , the highest numbered street is 4 th street . the answer is a .";subtract(divide(multiply(2, const_1000), 400), const_1);multiply(n0,const_1000)|divide(#0,n1)|subtract(#1,const_1);physics;Q122;Hard;2023-01-04 12:33:00;2023-01-04 13:20:00;47,69
the cost of one photocopy is $ 0.02 . however , a 25 % discount is offered on orders of more than 100 photocopies . if arthur and david have to make 80 copies each , how much will each of them save if they submit a single order of 160 copies ?;"""if arthur and david submit separate orders , each would be smaller than 100 photocopies , so no discount . each would pay ( 80 ) * ( $ 0.02 ) = $ 1.60 , or together , a cost of $ 3.20 - - - that ' s the combined no discount cost . if they submit things together as one big order , they get a discount off of that $ 3.20 price - - - - 25 % or 1 / 4 of that is $ 0.80 , the discount on the combined sale . they each effective save half that amount , or $ 0.40 . answer = ( b ) .""";divide(subtract(multiply(const_2, multiply(80, 0.02)), multiply(multiply(160, divide(subtract(100, 25), 100)), 0.02)), const_2);multiply(n0,n3)|subtract(n2,n1)|divide(#1,n2)|multiply(#0,const_2)|multiply(n4,#2)|multiply(n0,#4)|subtract(#3,#5)|divide(#6,const_2)|;gain;Q643;Easy;2023-01-04 13:02:00;2023-01-04 13:15:00;13,21
if 6 men and 8 women can do a piece of work in 10 days while 26 men and 48 women can do the same in 2 days , the time taken by 15 men and 20 women in doing the same type of work will be ?;let 1 man ' s 1 day ' s work = x and 1 women ' s 1 day ' s work = y . then , 6 x + 8 y = 1 and 26 x + 48 y = 1 . 10 2 solving these two equations , we get : x = 1 and y = 1 . 100 200 ( 15 men + 20 women ) ' s 1 day ' s work = 15 + 20 = 1 . 100 200 4 15 men and 20 women can do the work in 4 days . hence answer will be b;divide(multiply(add(divide(8, divide(subtract(multiply(48, 2), multiply(8, 10)), subtract(multiply(6, 10), multiply(26, 2)))), 6), 10), add(divide(20, divide(subtract(multiply(48, 2), multiply(8, 10)), subtract(multiply(6, 10), multiply(26, 2)))), 15));multiply(n4,n5)|multiply(n1,n2)|multiply(n0,n2)|multiply(n3,n5)|subtract(#0,#1)|subtract(#2,#3)|divide(#4,#5)|divide(n1,#6)|divide(n7,#6)|add(n0,#7)|add(n6,#8)|multiply(n2,#9)|divide(#11,#10);physics;Q178;Easy;2023-01-04 21:24:00;2023-01-04 21:45:00;21,87
a sum of rs . 1360 has been divided among a , b and c such that a gets 2 / 3 of what b gets and b gets 1 / 4 of what c gets . b ' s share is :;"""let c ' s share = rs . x then , b ' s share = rs . x / 4 ; a ' s share = rs . 2 / 3 * x / 4 = rs . x / 6 therefore x / 6 + x / 4 + x = 1360 17 x / 12 = 1360 x = 1360 * 12 / 17 = rs . 960 hence , b ' s share = rs . 960 / 4 = rs . 240 answer : c""";subtract(subtract(multiply(divide(1360, const_10), const_2), const_12), const_12);divide(n0,const_10)|multiply(#0,const_2)|subtract(#1,const_12)|subtract(#2,const_12)|;general;Q208;Medium;2023-01-05 04:53:00;2023-01-05 05:08:00;15,42
two - third of a positive number and 16 / 216 of its reciprocal are equal . find the positive number .;"""explanation : let the positive number be x . then , 2 / 3 x = 16 / 216 * 1 / x x 2 = 16 / 216 * 3 / 2 = 16 / 144 x = √ 16 / 144 = 4 / 12 . answer : a""";sqrt(divide(multiply(16, const_3), multiply(216, const_2)));multiply(n0,const_3)|multiply(n1,const_2)|divide(#0,#1)|sqrt(#2)|;general;Q476;Hard;2023-01-05 11:26:00;2023-01-05 12:06:00;40,44
